ano;total;nao.nulo;nao.nulo_conformes;conformes;conformes_acurados;acurados
2013;6410796;6410796;6410796;6410788;6410788;6330963
2014;7442705;7442705;7442705;7442700;7442700;7353889
2015;8128724;8128724;8128724;8128708;8128708;8029768
2016;8176923;8176923;8176923;8008826;8008826;7952717
2017;8302208;8302208;8302208;7967152;7967152;7965672
2018;11942711;11942711;11942711;11470746;11470746;11466194
2019;6642935;6642935;6642935;6372572;6372572;6369346
