ano;T1;t1;T2;t2;T3;t3;T4;t4;T5;t5;T6;t6
2013;53;0;171912;0;53;0;171908;0;53;0;171907;0
2014;28;0;191954;0;28;0;191954;0;28;0;191954;0
2015;144;0;207590;0;144;0;207590;0;144;0;207590;0
2016;100;0;209774;1;100;0;209775;0;100;0;209774;0
2017;70;0;213159;0;70;0;213159;0;70;0;213159;0
2018;154;0;305882;21;154;0;305882;0;154;0;305882;0
2019;155;0;172811;0;155;0;172811;0;155;0;172811;0
