Min.;1st Qu.;Median;Mean;3rd Qu.;Max.;NA's;V1;V2;teste
0;77;89;81;91;91;0;DATA_INICIO;DATA_FIM;T1
31;31;54;49;61;62;0;DATA_INICIO;COMPETENCIA;T2
31;60;90;80;91;91;0;COMPETENCIA;DATA_FIM;T3
