T1;T2;T3;ano
90;60;90;2008
90;59;89;2009
90;59;89;2010
89;57;89;2011
89;53;90;2012
87;52;90;2013
87;52;90;2014
90;53;90;2015
90;52;90;2016
89;53;90;2017
89;53;90;2018
86;51;88;2019
