total;falhas;ano
27729;2736;2008
31371;3229;2009
27286;2948;2010
34831;3606;2011
61944;8652;2012
62337;9385;2013
68515;9999;2014
71207;9732;2015
70445;9337;2016
71840;8914;2017
58845;6844;2018
35528;4033;2019
