Min.;1st Qu.;Median;Mean;3rd Qu.;Max.;NA's;V1;V2;teste
0;12;24;41;45;900;0;DTOBITO;DTCADASTRO;T1
0;5;41;88;120;910;0;DTOBITO;DTINVESTIG;T2
0;21;39;120;98;950;0;DTOBITO;DTRECEBIM;T3
