ano;APGAR1;APGAR5;CONSULTAS;ESCMAE;ESTCIVMAE;GESTACAO;GRAVIDEZ;IDANOMAL;LOCNASC;MESPRENAT;ORIGEM;QTDFILMORT;QTDFILVIVO;RACACOR;RACACORMAE;SERIESCMAE;SEXO;TPFUNCRESP;TPMETESTIM;TPROBSON;VERSAOSIST
2006;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;1, 2, 3, 4, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 9;;;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 15, 16, 17, 19, 21, 22, 28, 30, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 26, 99;1, 2, 3, 4, 5;;;0, 1, 2;;;;
2007;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;1, 2, 3, 4, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 9;;;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 15, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 99;1, 2, 3, 4, 5;;;0, 1, 2;;;;
2008;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;1, 2, 3, 4, 9;0, 1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 9;;;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 99;1, 2, 3, 4, 5;;;0, 1, 2;;;;
2009;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;1, 2, 3, 4, 9;0, 1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 9;;;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 99;1, 2, 3, 4, 5;;;0, 1, 2;;;;
2010;-0, 00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;1, 2, 3, 4, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;1, 2, 3;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 17, 18, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 99;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 7, 8;1, 2, 9;;1, 2, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12;1.9.00, 2.2.00, 2.2.01, 2.2.02, 2.2.07, 2.2.08, 3.2.00, 3.2.01
2011;-0, 00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;1, 2, 3, 4, 9;0, 1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 99;1, 2, 3;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 29, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 30, 99;1, 2, 3, 4, 5;1, 2, 3, 4, 5;0, 1, 2, 3, 4, 5, 6, 7, 8, 9;1, 2, 9;;1, 2, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12;2.2.00, 2.2.08, 3.2.00, 3.2.01
2012;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;1, 2, 3, 4, 9;0, 1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 99;1, 2, 3;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 27, 28, 29, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 30, 99;1, 2, 3, 4, 5;1, 2, 3, 4, 5;0, 1, 2, 3, 4, 5, 6, 7, 8, 9;0, 1, 2;;1, 2, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12;2.2.00, 2.2.03, 2.2.08, 3.2.00, 3.2.01
2013;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;1, 2, 3, 4, 9;0, 1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 5, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 99;1, 2, 3;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 25, 26, 29, 30, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 30, 99;1, 2, 3, 4, 5;1, 2, 3, 4, 5;1, 2, 3, 4, 5, 6, 7, 8;0, 1, 2;;1, 2, 8, 9;;2.2.00, 2.2.03, 2.2.07, 3.0.00, 3.2.00, 3.2.01, 3.2.02
2014;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 89, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;1, 2, 3, 4, 9;0, 1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 5, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;1, 2, 3;;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 25, 30;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 7, 8;F, I, M;1, 2, 3, 4, 5;1, 2, 8, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11;2.2.00, 2.2.03, 2.2.08, 3.2.00, 3.2.01, 3.2.02
2015;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;1, 2, 3, 4, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 5, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 99;1, 2, 3;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 27, 28, 30, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 27, 30, 99;1, 2, 3, 4, 5;1, 2, 3, 4, 5;1, 2, 3, 4, 5, 6, 7, 8;0, 1, 2;1, 2, 3, 4, 5;1, 2, 8, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11;2.2.00, 2.2.03, 2.2.08, 3.0.00, 3.2.00, 3.2.01, 3.2.02
2016;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;1, 2, 3, 4, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 5, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 99;1, 2, 3;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 26, 28, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 30, 99;1, 2, 3, 4, 5;1, 2, 3, 4, 5;1, 2, 3, 4, 5, 6, 7, 8;0, 1, 2;0, 1, 2, 3, 4, 5;1, 2, 8, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11;2.2.00, 2.2.03, 2.2.08, 3.2.00, 3.2.01, 3.2.02
2017;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;1, 2, 3, 4, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 5, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 99;1, 2;;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 30, 99;1, 2, 3, 4, 5;1, 2, 3, 4, 5;1, 2, 3, 4, 5, 6, 7, 8;0, 1, 2;0, 1, 2, 3, 4, 5;1, 2, 8, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11;2.2.00, 2.2.03, 2.2.07, 3.2.00, 3.2.01, 3.2.02
2018;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;1, 2, 3, 4, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 5, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 99;1, 2;;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 24, 30, 99;1, 2, 3, 4, 5;1, 2, 3, 4, 5;1, 2, 3, 4, 5, 6, 7, 8;0, 1, 2;0, 1, 2, 3, 4, 5;1, 2, 8, 9;01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11;2.2.03, 2.2.07, 2.2.08, 3.2.00, 3.2.01, 3.2.02
