variavel;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
HORANASC;0;229256;0;79109;0;0;0;0;0;0;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
IDADEMAE;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
IDADEPAI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
IDANOMAL;0;152932;0;552052;239530;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
KOTELCHUCK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2979259;3017668;2857800;2923535;2944932
LOCNASC;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
MESPRENAT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
NATURALMAE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
NOVO;0;0;0;0;94828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NUMEROLOTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
NUMREGCART;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;0;0;0;0;0
ORIGEM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
PARIDADE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2979259;3017668;2857800;2923535;2944932
PARTO;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
PESO;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
QTDFILMORT;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
QTDFILVIVO;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
QTDGESTANT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
QTDPARTCES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
QTDPARTNOR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
RACACOR;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
RACACOR_RN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2913160;0;0;0;0;0;0;0
RACACORMAE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
RACACORN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2905789;2904027;0;0;0;0;0
SEMAGESTAC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
SERIESCMAE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
SEXO;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
STCESPARTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
STDNEPIDEM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
STDNNOVA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
STTRABPART;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
TPAPRESENT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
TPDOCRESP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2979259;3017668;2857800;2923535;2944932
TPFUNCRESP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2979259;3017668;2857800;2923535;2944932
TPMETESTIM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
TPNASCASSI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2904027;2979259;3017668;2857800;2923535;2944932
TPROBSON;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;0;2979259;3017668;2857800;2923535;2944932
UFINFORM;0;0;0;0;239530;0;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;0;0;0;0;0;0;0;0;0
VERSAOSIST;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
