T1;T2;T3;ano
22;;;2008
21;;;2009
21;;;2010
19;;;2011
91;31;91;2012
90;31;90;2013
90;;91;2014
91;;91;2015
90;;91;2016
79;;91;2017
78;;91;2018
80;;90;2019
