Min.;1st Qu.;Median;Mean;3rd Qu.;Max.;NA's;V1;V2;teste
0;81;90;83;91;91;0;DATA_INICIO;DATA_FIM;T1
31;31;31;31;31;31;0;DATA_INICIO;COMPETENCIA;T2
58;90;91;90;91;91;0;COMPETENCIA;DATA_FIM;T3
