variavel;outliers
IDADE;107, 108, 109, 110, 111, 112, 113, 114, 115, 116, ..., 120, 121, 122, 123, 125, 126, 127, 128, 129, 130
QT_REALIZADO;4, 5, 6, 7, 8, 9, 10, 11, 12, 13, ..., 1010, 1055, 1111, 1116, 1231, 1301, 1500, 2801, 4610, 8715
VALOR;111.3, 111.96, 112, 112.66, 112.7, 113.26, 113.68, 113.85, 114.3, 114.36, ..., 26317.5, 27621, 28314, 31484.2, 34167.76, 37389, 38521.98, 39007.21, 106297.95, 1581772.5
