total;falhas;ano
52421;1439;2008
68031;1958;2009
96714;2630;2010
165216;4262;2011
121702;3276;2012
135014;3408;2013
152438;3372;2014
143706;3187;2015
171245;3973;2016
268518;4578;2017
452373;4920;2018
242895;2987;2019
