ano;total;nao.nulo;nao.nulo_conformes;conformes;conformes_acurados;acurados
2011;5247152;5247152;5247152;5247152;5247152;5247152
2012;13137317;13137317;13137317;13137317;13137317;13137317
2013;10697821;10697821;10697821;10697821;10697821;10697819
2014;14318609;14318609;14318609;14318609;14318609;14318599
2015;20709623;20709623;20709623;20709623;20709623;20709486
2016;22072569;22072569;22072569;22072569;22072569;22072385
2017;32626399;32626399;32626399;32626399;32626399;32626147
2018;46570924;46570924;46570924;46570924;46570924;46570584
2019;41747633;41747633;41747633;41747633;41747633;41747589
