Min.;1st Qu.;Median;Mean;3rd Qu.;Max.;NA's;V1;V2;teste
0;2;4;10;9;21000;0;DT_INTERNACAO;DT_SAIDA;T1
31;39;52;65;78;4300;0;DT_EMISSAO;DT_LOTE_APRES;T2
31;41;56;70;78;4300;0;DT_EMISSAO;DT_CMPT;T3
