T1;T2;T3;ano
3;52;62;2008
3;52;55;2009
3;53;53;2010
3;58;57;2011
3;48;52;2012
3;49;52;2013
4;55;53;2014
4;55;56;2015
4;52;59;2016
4;51;56;2017
4;50;61;2018
4;53;54;2019
