total;falhas;ano
79755;7560;2008
88789;8840;2009
93040;9039;2010
91279;8805;2011
84124;7812;2012
85985;7893;2013
81645;7269;2014
85761;7400;2015
87272;7248;2016
90440;7620;2017
78043;5862;2018
20982;1688;2019
