ano;T1;t1;T2;t2;T3;t3;T4;t4;T5;t5;T6;t6
2012;278;0;2526;0;278;0;2526;0;278;0;2526;0
2013;1483;1;10894;1;1483;0;10894;0;1483;0;10894;0
2014;3864;5;31626;2;3864;0;31626;0;3864;0;31626;0
2015;5881;24;46609;23;5881;0;46609;0;5881;0;46609;0
2016;923;0;4057;0;923;0;4057;0;923;0;4057;0
