Min.;1st Qu.;Median;Mean;3rd Qu.;Max.;NA's;V1;V2;teste
0;14;31;150;110;30000;0;DT_INICIO;DT_FIM;T1
31;68;130;300;240;31000;0;DT_INICIO;DT_COMPETENCIA;T2
;;;;;;0;DT_COMPETENCIA;DT_FIM;T3
