ano;total;nao.nulo;nao.nulo_conformes;conformes;conformes_acurados;acurados
2012;95140;95140;95140;95140;95140;94151
2013;408597;408597;408597;408597;408597;404106
2014;1182092;1182092;1182092;1182092;1182092;1166825
2015;1744709;1744709;1744709;1744709;1744709;1726205
2016;151638;151638;151638;151553;151553;148672
